Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
157,3,11,24,02,04,8,1,10,22.000000,70,C,,,0.000,0,0.00,45.80,6.060000,0.000000,1.720000,5.160000,0.000000,0.000000,6.89,11450000.000
158,5,8,8,02,04,3,1,35,10.000000,02,E,A,4,1100000.000,1,7.99,77.90,19.360000,1.740000,2.470000,2.420000,0.000000,0.000000,44.56,14801000.000
159,6,31,15,04,04,7,6,35,10.000000,01,E,A,4,0.000,0,0.00,54.40,12.730000,2.110000,1.620000,0.000000,0.000000,0.000000,10.11,34816000.000
160,0,3,8,01,04,4,1,10,0.000000,01,E,Z,4,0.000,0,0.00,95.21,28.800000,0.000000,0.000000,0.000000,0.000000,0.000000,26.43,5331760.000
161,5,27,12,01,04,7,7,35,19.000000,04,E,A,3,0.000,0,0.00,42.52,12.090000,1.170000,3.210000,0.000000,0.000000,0.000000,10.62,11905600.000
162,5,16,24,02,04,14,6,35,26.000000,01,E,A,3,1200000.000,1,3.96,37.83,7.280000,1.160000,3.010000,1.200000,0.000000,0.000000,4.36,13618800.000
163,6,35,8,01,04,5,5,35,0.000000,01,E,A,3,0.000,0,0.00,31.69,8.300000,1.280000,0.000000,0.000000,0.000000,0.000000,9.27,13943600.000
164,5,9,15,02,04,16,16,10,31.000000,01,E,Z,3,1400000.000,1,12.32,38.84,6.730000,1.390000,3.630000,3.730000,0.000000,0.000000,4.96,13594000.000
165,5,29,6,02,04,5,1,10,10.000000,01,E,Z,4,0.000,0,0.00,29.11,7.030000,0.890000,0.890000,0.000000,0.000000,0.000000,7.54,8441900.000
166,5,8,32,02,04,15,13,35,28.000000,01,E,A,4,800000.000,1,6.38,25.99,4.930000,0.710000,2.220000,1.930000,0.000000,0.000000,3.88,6627450.000
167,5,5,12,02,04,17,11,10,26.000000,70,E,A,4,3400000.000,2,19.70,55.64,10.870000,1.590000,4.380000,5.960000,0.000000,0.000000,10.52,20586800.000
168,5,21,16,02,04,19,11,35,28.000000,01,E,A,4,2000000.000,1,7.54,34.47,6.490000,1.000000,2.940000,2.280000,0.000000,0.000000,3.41,16200900.000
169,4,14,16,01,04,4,1,10,0.000000,01,E,Z,3,0.000,0,0.00,129.50,36.080000,3.090000,0.000000,0.000000,0.000000,0.000000,62.68,9065000.000
170,4,16,8,03,04,10,6,10,36.000000,01,E,A,3,0.000,0,0.00,53.01,9.390000,0.910000,5.740000,0.000000,0.000000,0.000000,11.66,5301000.000
171,5,21,16,02,04,12,1,11,7.000000,04,E,A,4,0.000,0,0.00,29.60,8.290000,0.000000,0.670000,0.000000,0.000000,0.000000,4.70,14859200.000
172,6,19,8,02,04,4,1,10,0.000000,01,E,Z,4,0.000,0,0.00,56.30,13.920000,3.110000,0.000000,0.000000,0.000000,0.000000,30.13,35469000.000
173,4,15,6,02,04,4,1,10,0.000000,01,E,Z,3,0.000,0,0.00,59.22,17.570000,0.350000,0.000000,0.000000,0.000000,0.000000,23.13,7698600.000
